,0
60,"Title: Jeep Wrangler Unlimited 2018
Time posted: 2022-01-26 22:14
Price: $41,000
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-jeep-wrangler-unlimited-2018/7438172026.html

"
61,"Title: 2005 toyota camry
Time posted: 2022-01-26 22:14
Price: $5,500
Location:  (Burnaby burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-2005-toyota-camry/7438171991.html

"
62,"Title: 2011 BMW X5M LCI
Time posted: 2022-01-26 22:06
Price: $17,000
Location:  ( city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-2011-bmw-x5m-lci/7436656575.html

"
63,"Title: WHT 2017 TOYOTA CAMRY LE 64,888KM **NEW MICHELIN TIRES** 2.4L I4 AUTO
Time posted: 2022-01-26 22:05
Price: $123,456
Location:  (RICHMOND, B.C.) (BUY SELL LEASE FINANCE IN HOUSE FINANCING richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-wht-2017-toyota-camry-le/7438170698.html

"
64,"Title: 2012 Jeep Wrangler Unlimited Rubicon JKUR Automatic - 95k km
Time posted: 2022-01-26 22:04
Price: $39,500
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-2012-jeep-wrangler-unlimited/7427899056.html

"
65,"Title: Nissan frontier nismo
Time posted: 2022-01-26 22:00
Price: $11,500
Location:  (BURNABY burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-nissan-frontier-nismo/7438170229.html

"
66,"Title: 2021 land rover range rover hse lease take over
Time posted: 2022-01-26 21:56
Price: $2,429
Location:  (SURREY delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-lower-west-2021-land-rover-range/7438169678.html

"
67,"Title: 2010 Mitsubishi EVO X open trade
Time posted: 2022-01-26 21:55
Price: $39,800
Location:  (Richmond richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-southwest-2010-mitsubishi-evo/7438169550.html

"
68,"Title: 2004 Subaru Impreza STI JDM open trade
Time posted: 2022-01-26 21:49
Price: $18,800
Location:  (Richmond richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-southwest-2004-subaru-impreza/7438168849.html

"
69,"Title: 1998 Mitsubishi Eclipse GS Spyder Rare!
Time posted: 2022-01-26 21:49
Price: $10,000
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-1998-mitsubishi-eclipse-gs/7438166240.html

"
70,"Title: 2004 Toyota Tacoma 4Ã—4
Time posted: 2022-01-26 21:44
Price: $11,900
Location:  (MAPLE RIDGE tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/maple-ridge-2004-toyota-tacoma-44/7438168214.html

"
71,"Title: 2001 Pontiac Firebird
Time posted: 2022-01-26 21:42
Price: $18,000
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-2001-pontiac-firebird/7438167846.html

"
72,"Title: 2007 Ford F-150 Lariat
Time posted: 2022-01-26 21:41
Price: $5,000
Location:  (Langley delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-inner-northwest-2007-ford-150/7437123068.html

"
73,"Title: 2007 Ford F-150 Lariat 4X4
Time posted: 2022-01-26 21:41
Price: $5,000
Location:  (Langley delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-inner-northwest-2007-ford-150/7436311937.html

"
74,"Title: 2006 Dodge Magnum SXT v6
Time posted: 2022-01-26 21:41
Price: $3,200
Location:  (Burnaby burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-2006-dodge-magnum-sxt-v6/7437268420.html

"
75,"Title: Ford Ranger. 2008 . White. super cab
Time posted: 2022-01-26 21:38
Price: $7,500
Location:  (Surrey North delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-ford-ranger-white-super-cab/7438167397.html

"
76,"Title: PRICE REDUCED 2006 Dodge Magnum R/T
Time posted: 2022-01-26 21:37
Price: $6,300
Location:  (surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-northeast-price-reduced-2006/7432275998.html

"
77,"Title: 2012 Hino 338
Time posted: 2022-01-26 21:34
Price: $29,900
Location:  (coquitlam tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/richmond-2012-hino-338/7438166843.html

"
78,"Title: Lease takeover for PHEV Volvo XC60 Polestar Engineered
Time posted: 2022-01-26 21:32
Price: $0
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-lease-takeover-for-phev-volvo/7437160650.html

"
79,"Title: 2001 honda civic
Time posted: 2022-01-26 21:32
Price: $4,000
Location:  (Richmond city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/richmond-south-2001-honda-civic/7438166479.html

"
80,"Title: NISSAN ZX 300 TWIN TURBO LEFT HAND DRIVE IMPORT CAR OF THE YR
Time posted: 2022-01-26 21:31
Price: $25,500
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/east-york-nissan-zx-300-twin-turbo-left/7430372775.html

"
81,"Title: 2006 Mazda Mazdaspeed 6
Time posted: 2022-01-26 21:27
Price: $14,000
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-north-2006-mazda-mazdaspeed/7438165762.html

"
82,"Title: saturn ion
Time posted: 2022-01-26 21:16
Price: $3,700
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-saturn-ion/7431336693.html

"
83,"Title: 2015 jeep wrangler JK
Time posted: 2022-01-26 21:13
Price: $30,000
Location:  ( tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/coquitlam-2015-jeep-wrangler-jk/7438163324.html

"
84,"Title: Tonneau Cover - Toyota Tacoma - Diamondback
Time posted: 2022-01-26 21:07
Price: $2,000
Location:  (North Vancouver north shore )
Link: https://vancouver.craigslist.org/nvn/cto/d/north-vancouver-tonneau-cover-toyota/7438161007.html

"
85,"Title: 2007 VW GTI 4 Door with Low Mileage
Time posted: 2022-01-26 21:00
Price: $9,500
Location:  ( city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-2007-vw-gti-door-with-low/7438161462.html

"
86,"Title: Toyota Camry XLE
Time posted: 2022-01-26 20:59
Price: $14,500
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-toyota-camry-xle/7438160368.html

"
87,"Title: 2009 Nissan Rogue
Time posted: 2022-01-26 20:59
Price: $5,000
Location:  (West Vancouver West north shore )
Link: https://vancouver.craigslist.org/nvn/cto/d/west-vancouver-west-2009-nissan-rogue/7438161282.html

"
88,"Title: 1989 GMC S15 LONG BOX SLEEPER
Time posted: 2022-01-26 20:55
Price: $6,889
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-1989-gmc-s15-long-box-sleeper/7438160596.html

"
89,"Title: Ram 1500 Sport
Time posted: 2022-01-26 20:50
Price: $39,999
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-upper-west-ram-1500-sport/7438159827.html

"
90,"Title: 2011 Infiniti M 37GSelling my Infiniti M 37X 37G 35 all-wheel-drive
Time posted: 2022-01-26 20:49
Price: $10,800
Location:  (New Westminster city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/new-westminster-southwest-2011-infiniti/7438159652.html

"
91,"Title: 2009 Toyota Sienna CE 7-Passenger 126k km only!  NO ACCIDENTS
Time posted: 2022-01-26 20:46
Price: $14,900
Location:  (Richmond richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-2009-toyota-sienna-ce/7437217525.html

"
92,"Title: 1998 Chevy pickup extra cab Dually  long box
Time posted: 2022-01-26 20:45
Price: $7,000
Location:  (Coquitlam delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/coquitlam-1998-chevy-pickup-extra-cab/7436196469.html

"
93,"Title: 07 TOYOTA FJ CRUISER OFFROAD PACKAGE (IMMACULATE, LOW KM)
Time posted: 2022-01-26 20:44
Price: $31,299
Location:  (WEST VANCOUVER north shore )
Link: https://vancouver.craigslist.org/nvn/cto/d/west-vancouver-south-07-toyota-fj/7433334130.html

"
94,"Title: VW 2003 Jetta TDI Diesel Wagon Manual higher mileage Rebuilt!
Time posted: 2022-01-26 20:43
Price: $4,400
Location:  (port coquitlam tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/vw-2003-jetta-tdi-diesel-wagon-manual/7431881200.html

"
95,"Title: 1993 Kenworth T600 Heavy Duty Tandem Tow Truck 25 Ton Wrecker
Time posted: 2022-01-26 20:43
Price: $89,000
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-northeast-1993-kenworth-t600/7430112375.html

"
96,"Title: 2004 Honda Accord Sedan Auto 4cyl
Time posted: 2022-01-26 20:41
Price: $3,650
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-northeast-2004-honda-accord/7438158215.html

"
97,"Title: 2021 Toyota rav4 Hybrid Xle just 270 km
Time posted: 2022-01-26 20:38
Price: $59,500
Location:  (Surrey city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/surrey-north-2021-toyota-rav4-hybrid/7438157776.html

"
98,"Title: 1986 BMW 528
Time posted: 2022-01-26 20:36
Price: $3,500
Location:  (White Rock delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/white-rock-1986-bmw-528/7438157511.html

"
99,"Title: 2018 GMC Sierra Short Box Fleetside
Time posted: 2022-01-26 20:33
Price: $32,500
Location:  (Langley Township Southwest delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/langley-township-southwest-2018-gmc/7438156971.html

"
100,"Title: 2012 FORD EXPEDITION
Time posted: 2022-01-26 20:33
Price: $15,900
Location:  (Coquitlam tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/coquitlam-north-2012-ford-expedition/7438156922.html

"
101,"Title: 2005 Toyota Highlander $6799 OBO
Time posted: 2022-01-26 20:31
Price: $6,799
Location:  (Tri-Cities tricities/pitt/maple )
Link: https://vancouver.craigslist.org/pml/cto/d/port-coquitlam-south-2005-toyota/7436779902.html

"
102,"Title: 1987 BMW e30 325is
Time posted: 2022-01-26 20:25
Price: $7,000
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-1987-bmw-e30-325is/7438155462.html

"
103,"Title: 1974 Cadillac Coupe Deville Electric Orange New Paint
Time posted: 2022-01-26 20:24
Price: $18,500
Location:  (Langley delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/langley-township-northwest-1974/7436819180.html

"
104,"Title: 2016 Acura ILX
Time posted: 2022-01-26 20:23
Price: $19,998
Location:  (burnaby burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-2016-acura-ilx/7438155225.html

"
105,"Title: Volkswagen Passat Tdi Malone stage 2 tune
Time posted: 2022-01-26 20:21
Price: $14,000
Location:  (Burnaby burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-volkswagen-passat-tdi-malone/7438154831.html

"
106,"Title: 2006 Mercedes-Benz E-Class 4dr Sdn 3.5L 4MATIC - (Surrey)
Time posted: 2022-01-26 20:18
Price: $8,800
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-inner-northwest-2006-mercedes/7436813103.html

"
107,"Title: 2000 7.3l Black Excursion loaded 4"" lift
Time posted: 2022-01-26 20:16
Price: $12,500
Location:  (langley city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/langley-township-northwest-black/7436824087.html

"
108,"Title: mini cooper 2010
Time posted: 2022-01-26 20:15
Price: $9,000
Location:  (Burnaby city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/burnaby-mini-cooper-2010/7438153583.html

"
109,"Title: 1999 Freightliner FL80 Day Cab
Time posted: 2022-01-26 20:13
Price: $10,000
Location:  (Richmond richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-northeast-1999-freightliner/7438153083.html

"
110,"Title: Car & Truck For Sale: Honda & Chevy
Time posted: 2022-01-26 20:12
Price: $10,500
Location:  (Vancouver BC city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-car-truck-for-sale-honda-chevy/7438152964.html

"
111,"Title: 2014 Honda Accord Touring
Time posted: 2022-01-26 20:09
Price: $12,700
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-2014-honda-accord-touring/7438152416.html

"
112,"Title: 2005 Chrysler 300 V6..... 154,000KM
Time posted: 2022-01-26 20:09
Price: $5,800
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-2005-chrysler-300-km/7434207658.html

"
113,"Title: 2004 Audi A4 Quattro
Time posted: 2022-01-26 20:08
Price: $4,200
Location:  (Burnaby city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/burnaby-2004-audi-a4-quattro/7438152216.html

"
114,"Title: 2007 Honda Civic DX-G
Time posted: 2022-01-26 20:05
Price: $6,000
Location:  (North Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/2007-honda-civic-dx/7438151677.html

"
115,"Title: 2009 Hyundai Santa Fe GLS
Time posted: 2022-01-26 20:05
Price: $5,800
Location:  (North Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/north-vancouver-2009-hyundai-santa-fe/7438151575.html

"
116,"Title: 2014 Mazda 6 Gs
Time posted: 2022-01-26 20:05
Price: $7,000
Location:  (North Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/north-vancouver-2014-mazda-gs/7438151525.html

"
117,"Title: 2008 Honda Civic
Time posted: 2022-01-26 19:56
Price: $5,500
Location:  (Vancouver city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-2008-honda-civic/7435355545.html

"
118,"Title: 2009 BMW 335i
Time posted: 2022-01-26 19:56
Price: $11,500
Location:  ( city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/abbotsford-2009-bmw-335i/7436312922.html

"
119,"Title: 2009 BMW 335i
Time posted: 2022-01-26 19:55
Price: $11,500
Location:  ( city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/surrey-east-2009-bmw-335i/7436313082.html

"
